ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,2,"16,416",0,"59,856",0,0,0,0,0,0,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,3,"49,677",0,"181,936",0,0,0,0,0,32,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,4,"37,600",0,"137,972",0,0,0,0,0,11,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,5,"45,315",0,"173,304",0,0,0,0,0,11,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,6,"58,142",0,"233,174",0,0,0,0,0,17,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,7,"82,452",0,"341,775",0,0,0,0,0,20,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,8,"48,084",0,"195,020",0,0,0,0,0,17,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,9,"31,630",0,"126,428",0,0,0,0,0,9,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,10,"29,050",0,"116,811",0,0,0,0,0,5,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,11,"19,488",0,"71,392",0,0,0,0,0,6,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,12,"15,936",0,"58,222",0,0,0,0,0,4,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2015,"445,720",0,"1,739,670",0,0,0,0,0,135,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2016,1,"13,534",0,"49,848",0,0,0,0,0,12,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2016,"466,773",0,"1,808,212",0,0,0,0,0,251,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2016,2,"13,046",0,"47,884",0,0,0,0,0,10,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2016,"466,773",0,"1,808,212",0,0,0,0,0,251,0,0
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2016,3,"51,157",0,"187,844",0,0,0,0,0,48,0,0,Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2016,"466,773",0,"1,808,212",0,0,0,0,0,251,0,0
