fullName,states,latitude,longitude,designation,parkCode,activities,entranceFees
Friendship Hill National Historic Site,PA,39.77543423,-79.92504169,National Historic Site,frhi,"Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits",
Gates Of The Arctic National Park & Preserve,AK,67.75961636,-153.2917758,National Park & Preserve,gaar,"Camping,Backcountry Camping,Canoe or Kayak Camping,Climbing,Rock Climbing,Mountain Climbing,Hiking,Backcountry Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Whitewater Rafting,Junior Ranger Program",
Gateway Arch National Park,MO,38.6258069,-90.1892508,National Park,jeff,"Astronomy,Stargazing,Biking,Road Biking,Food,Dining,Picnicking,Guided Tours,Boat Tour,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",19.00
Gateway National Recreation Area,"NY,NJ",40.56536246,-73.9171087,National Recreation Area,gate,"Biking,Boating,Camping,Fishing,Guided Tours,Paddling,Kayaking,Swimming,Saltwater Swimming",
Gauley River National Recreation Area,WV,38.20614947,-81.00420836,National Recreation Area,gari,"Boating,Camping,Car or Front Country Camping,RV Camping,Fishing,Freshwater Fishing,Paddling,Kayaking,Whitewater Rafting,Junior Ranger Program",
General Grant National Memorial,NY,40.81332817,-73.96331542,National Memorial,gegr,"Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
George Rogers Clark National Historical Park,IN,38.67912659,-87.53545212,National Historical Park,gero,"Astronomy,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Arts and Crafts,Living History,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
George Washington Birthplace National Monument,VA,38.19362603,-76.92079458,National Monument,gewa,"Arts and Culture,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Paddling,Canoeing,Kayaking,Junior Ranger Program,Wildlife Watching,Shopping,Bookstore and Park Store",
George Washington Carver National Monument,MO,36.9871322,-94.35522737,National Monument,gwca,"Arts and Culture,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Junior Ranger Program,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
George Washington Memorial Parkway,"DC,MD,VA",38.9628,-77.1495,Memorial Parkway,gwmp,"Arts and Culture,Live Music,Biking,Road Biking,Food,Picnicking,Wildlife Watching,Birdwatching",
Gettysburg National Military Park,PA,39.81557366,-77.23246758,National Military Park,gett,"Auto and ATV,Scenic Driving,Biking,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Hiking,Horse Trekking,Horseback Riding,Living History,Reenactments,Historic Weapons Demonstration,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Gila Cliff Dwellings National Monument,NM,33.22715258,-108.2706711,National Monument,gicl,"Astronomy,Stargazing,Camping,Car or Front Country Camping,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Glacier Bay National Park & Preserve,AK,58.80086718,-136.8407579,National Park & Preserve,glba,"Arts and Culture,Cultural Demonstrations,Auto and ATV,ATV Off-Roading,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Climbing,Mountain Climbing,Fishing,Food,Flying,Guided Tours,Boat Tour,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Paddling,Kayaking,Whitewater Rafting,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",
Glacier National Park,MT,48.68414678,-113.8009306,National Park,glac,"Arts and Culture,Cultural Demonstrations,Live Music,Auto and ATV,Scenic Driving,Astronomy,Biking,Road Biking,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Climbing,Mountain Climbing,Fishing,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Paddling,Canoe or Kayak Camping,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Park Film,Shopping,Bookstore and Park Store",35.00
Glen Canyon National Recreation Area,"AZ,UT",36.9357464677,-111.485594268,National Recreation Area,glca,"Auto and ATV,ATV Off-Roading,Auto Off-Roading,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Motorized Boating,Jet Skiing,Boat Tour,Camping,Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Auto,Boat Tour,Hands-On,Volunteer Vacation,Hiking,Paddling,Kayaking,Junior Ranger Program,Swimming,Shopping,Bookstore and Park Store",30.00
Glen Echo Park,MD,38.96912315,-77.14012206,Park,glec,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Theater,Guided Tours",
Gloria Dei Church National Historic Site,PA,39.93435005,-75.14398924,National Historic Site,glde,Museum Exhibits,
Golden Gate National Recreation Area,CA,37.85982543,-122.6007386,National Recreation Area,goga,"Arts and Culture,Biking,Mountain Biking,Camping,Car or Front Country Camping,Group Camping,Fishing,Saltwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Reenactments,Junior Ranger Program,Surfing,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",
Golden Spike National Historical Park,UT,41.61947508,-112.5242653,National Historical Park,gosp,"Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Living History,Reenactments,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",20.00
Governors Island National Monument,NY,40.69164233,-74.01670765,National Monument,gois,"Biking,Road Biking,Food,Picnicking,Guided Tours,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Grand Canyon National Park,AZ,36.0001165336,-112.121516363,National Park,grca,"Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Fishing,Food,Flying,Guided Tours,Hands-On,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Paddling,Whitewater Rafting,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",35.00
Grand Canyon-Parashant National Monument,AZ,36.41535465,-113.6682797,National Monument,para,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Hiking,Backcountry Hiking,Junior Ranger Program",
Grand Portage National Monument,MN,47.99294217,-89.75573031,National Monument,grpo,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Living History,Reenactments,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Grand Teton National Park,WY,43.81853565,-110.7054666,National Park,grte,"Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Rock Climbing,Mountain Climbing,Ice Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Auto,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Water Skiing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",35.00
Grant-Kohrs Ranch National Historic Site,MT,46.41358923,-112.7467024,National Historic Site,grko,"Arts and Culture,Fishing,Freshwater Fishing,Fly Fishing,Guided Tours,Hiking,Front-Country Hiking,Living History,Junior Ranger Program,Wildlife Watching,Birdwatching",
Great Basin National Park,NV,38.94617378,-114.2579782,National Park,grba,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Caving,Fishing,Food,Dining,Picnicking,Guided Tours,Hiking,Backcountry Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Gathering and Foraging,Junior Ranger Program,Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Great Egg Harbor River,NJ,39.3042,-74.6497,,greg,"Astronomy,Stargazing,Biking,Boating,Camping,Fishing,Freshwater Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Tubing,River Tubing,Wildlife Watching,Birdwatching",
Great Falls Park,VA,38.98776107,-77.25128326,Park,grfa,"Guided Tours,Hiking,Paddling,Kayaking,Park Film",20.00
Great Sand Dunes National Park & Preserve,CO,37.79256812,-105.5919572,National Park & Preserve,grsa,"Arts and Culture,Craft Demonstrations,Live Music,Auto and ATV,Auto Off-Roading,Astronomy,Stargazing,Biking,Mountain Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Mountain Climbing,Compass and GPS,Orienteering,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Hands-On,Arts and Crafts,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Junior Ranger Program,Tubing,River Tubing,Skiing,Cross-Country Skiing,Downhill Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",25.00
Great Smoky Mountains National Park,"NC,TN",35.60116374,-83.50818326,National Park,grsm,"Arts and Culture,Live Music,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Green Springs,VA,38.037099,-78.189823,,grsp,"Auto and ATV,Scenic Driving,Biking",
Greenbelt Park,MD,38.98328267,-76.89722133,Park,gree,"Camping,Group Camping,RV Camping,Food,Picnicking,Hiking,Junior Ranger Program,Playground,Wildlife Watching",
Guadalupe Mountains National Park,TX,31.92304462,-104.885527,National Park,gumo,"Auto and ATV,Auto Off-Roading,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits",10.00
Guilford Courthouse National Military Park,NC,36.13225478,-79.8424561,National Military Park,guco,"Arts and Culture,Theater,Auto and ATV,Scenic Driving,Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Living History,Historic Weapons Demonstration,Junior Ranger Program,Park Film,Museum Exhibits",
Gulf Islands National Seashore,"FL,MS",30.3211,-87.2304,National Seashore,guis,"Biking,Mountain Biking,Road Biking,Boating,Motorized Boating,Jet Skiing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Freshwater Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Boat Tour,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Living History,Paddling,Canoeing,Kayaking,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",25.00
Hagerman Fossil Beds National Monument,ID,42.79074114,-114.9443074,National Monument,hafo,"Auto and ATV,Scenic Driving,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Gift Shop and Souvenirs",
Haleakalā National Park,HI,20.70693015,-156.1591775,National Park,hale,"Camping,Backcountry Camping,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Junior Ranger Program,Swimming,Shopping",25.00
Hamilton Grange National Memorial,NY,40.81871605,-73.94878487,National Memorial,hagr,"Arts and Culture,Guided Tours,Hands-On,Living History,Junior Ranger Program,Park Film,Museum Exhibits",
Hampton National Historic Site,MD,39.4175296,-76.58781182,National Historic Site,hamp,"Arts and Culture,Craft Demonstrations,Live Music,Biking,Road Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Arts and Crafts,Hiking,Living History,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Harmony Hall,MD,38.74646351,-77.00377069,,haha,"Wildlife Watching,Birdwatching",
Harpers Ferry National Historical Park,"WV,VA,MD",39.31865949,-77.74088546,National Historical Park,hafe,"Guided Tours,Hiking,Living History,Junior Ranger Program,Shopping,Bookstore and Park Store",20.00
Harriet Tubman National Historical Park,NY,42.9128920287,-76.5646715462,National Historical Park,hart,"Food,Picnicking,Museum Exhibits,Shopping,Gift Shop and Souvenirs",
Harriet Tubman Underground Railroad National Historical Park,MD,38.4548643511,-76.1373451376,National Historical Park,hatu,"Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Park Film,Museum Exhibits",
Harry S Truman National Historic Site,MO,38.92711967,-94.5162488,National Historic Site,hstr,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Hawaiʻi Volcanoes National Park,HI,19.3355036,-155.4700257,National Park,havo,"Arts and Culture,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",30.00
Herbert Hoover National Historic Site,IA,41.66793558,-91.35232139,National Historic Site,heho,"Arts and Culture,Craft Demonstrations,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits",
Historic Jamestowne Part of Colonial National Historical Park,VA,37.2065,-76.7538,Part of Colonial National Historical Park,jame,"Guided Tours,Self-Guided Tours - Walking,Living History,First Person Interpretation,Junior Ranger Program",15.00
Home Of Franklin D Roosevelt National Historic Site,NY,41.76639758,-73.92516857,National Historic Site,hofr,"Compass and GPS,Geocaching,Guided Tours,Hands-On,Citizen Science,Junior Ranger Program",15.00
Homestead National Historical Park,NE,40.28802381,-96.83387781,National Historical Park,home,"Arts and Culture,Compass and GPS,Geocaching,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Living History,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping",
Honouliuli National Historic Site,HI,21.38817536,-158.0574991,National Historic Site,hono,"Shopping,Bookstore and Park Store",
Hopewell Culture National Historical Park,OH,39.31594374,-83.08049456,National Historical Park,hocu,"Arts and Culture,Biking,Road Biking,Food,Dining,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store",
Hopewell Furnace National Historic Site,PA,40.20610637,-75.76766355,National Historic Site,hofu,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Astronomy,Stargazing,Biking,Compass and GPS,Geocaching,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Volunteer Vacation,Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Gathering and Foraging,Living History,Junior Ranger Program,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Horseshoe Bend National Military Park,AL,32.97668879,-85.73413589,National Military Park,hobe,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Hands-On,Arts and Crafts,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Reenactments,Historic Weapons Demonstration,Paddling,Canoeing,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Hot Springs National Park,AR,34.52414366,-93.06332936,National Park,hosp,"Auto and ATV,Scenic Driving,Biking,Camping,Car or Front Country Camping,RV Camping,Fishing,Food,Dining,Picnicking,Guided Tours,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Hovenweep National Monument,"CO,UT",37.39134092,-109.0047977,National Monument,hove,"Astronomy,Stargazing,Camping,Hiking,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store",20.00
Hubbell Trading Post National Historic Site,AZ,35.70727324,-109.5599515,National Historic Site,hutr,"Arts and Culture,Guided Tours,Junior Ranger Program,Shopping,Bookstore and Park Store",
Ice Age Floods National Geologic Trail,"WA,OR,ID,MT",46.5669309008,-118.992564971,National Geologic Trail,iafl,"Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Junior Ranger Program",
Ice Age National Scenic Trail,WI,43.9895697794,-89.5612021706,National Scenic Trail,iatr,"Camping,Backcountry Camping,Fishing,Hands-On,Volunteer Vacation,Hiking,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching",
Independence National Historical Park,PA,39.94746112,-75.14794157,National Historical Park,inde,"Food,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",1.00
Indiana Dunes National Park,IN,41.63765525,-87.09647445,National Park,indu,"Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Boating,Camping,RV Camping,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Horse Trekking,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Playground,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",20.00
Isle Royale National Park,MI,48.01145819,-88.82780657,National Park,isro,"Arts and Culture,Astronomy,Stargazing,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,Fishing,Freshwater Fishing,Food,Dining,Flying,Guided Tours,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,SCUBA Diving,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",7.00
Iñupiat Heritage Center,AK,71.29832445,-156.7535863,,inup,"Arts and Culture,Hunting and Gathering",
James A Garfield National Historic Site,OH,41.66486549,-81.35086557,National Historic Site,jaga,"Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Jean Lafitte National Historical Park and Preserve,LA,29.81739855,-90.1402241,National Historical Park and Preserve,jela,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Fishing,Freshwater Fishing,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Arts and Crafts,Hunting and Gathering,Hunting,Living History,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Jewel Cave National Monument,SD,43.73102945,-103.829994,National Monument,jeca,"Caving,Guided Tours,Hiking,Junior Ranger Program,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",
Jimmy Carter National Historical Park,GA,32.03611,-84.3924,National Historical Park,jica,"Biking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
John Day Fossil Beds National Monument,OR,44.62566508,-119.8811491,National Monument,joda,"Hiking,Front-Country Hiking,Junior Ranger Program,Park Film,Museum Exhibits,Bookstore and Park Store",
John Fitzgerald Kennedy National Historic Site,MA,42.34693694,-71.12323846,National Historic Site,jofi,"Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
John Muir National Historic Site,CA,37.9828422,-122.1326097,National Historic Site,jomu,"Guided Tours,Self-Guided Tours - Walking,Hiking,Junior Ranger Program,Wildlife Watching,Park Film,Museum Exhibits",
Johnstown Flood National Memorial,PA,40.34584534,-78.77448601,National Memorial,jofl,"Guided Tours,Bus/Shuttle Guided Tour,Hiking,Junior Ranger Program,Museum Exhibits",
Joshua Tree National Park,CA,33.91418525,-115.8398125,National Park,jotr,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Climbing,Rock Climbing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",30.00
Juan Bautista de Anza National Historic Trail,"AZ,CA",33.8743390994,-117.224179857,National Historic Trail,juba,"Auto and ATV,Scenic Driving,Biking,Mountain Biking,Road Biking,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Living History,Reenactments,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Kalaupapa National Historical Park,HI,21.1731108,-156.9511609,National Historical Park,kala,"Guided Tours,Living History,Museum Exhibits",
Kaloko-Honokōhau National Historical Park,HI,19.68083237,-156.0306932,National Historical Park,kaho,"Arts and Culture,Biking,Fishing,Saltwater Fishing,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",
Katahdin Woods and Waters National Monument,ME,45.9567565918,-68.7122879028,National Monument,kaww,"Astronomy,Stargazing,Biking,Camping,Fishing,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching",
Katmai National Park & Preserve,AK,58.62235668,-155.0126574,National Park & Preserve,katm,"Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Fly Fishing,Food,Dining,Picnicking,Flying,Guided Tours,Hiking,Backcountry Hiking,Hunting and Gathering,Hunting,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Kenai Fjords National Park,AK,59.81804414,-150.106502,National Park,kefj,"Astronomy,Stargazing,Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Climbing,Mountain Climbing,Ice Climbing,Dog Sledding,Fishing,Freshwater Fishing,Fly Fishing,Saltwater Fishing,Food,Flying,Helicopter Flying,Fixed Wing Flying,Guided Tours,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",
Kenilworth Park & Aquatic Gardens,DC,38.9128,-76.9434,,keaq,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",
Kennesaw Mountain National Battlefield Park,GA,33.95370717,-84.59214186,National Battlefield Park,kemo,"Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Junior Ranger Program,Museum Exhibits",5.00
Keweenaw National Historical Park,MI,47.1792308,-88.52275344,National Historical Park,kewe,"Biking,Mountain Biking,Road Biking,Compass and GPS,Geocaching,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Park Film,Museum Exhibits",
Kings Mountain National Military Park,SC,35.13900723,-81.38978712,National Military Park,kimo,"Guided Tours,Self-Guided Tours - Walking,Living History,Junior Ranger Program,Park Film",
Klondike Gold Rush - Seattle Unit National Historical Park,WA,47.5993663,-122.3319664,National Historical Park,klse,"Guided Tours,Self-Guided Tours - Walking,Living History,Park Film,Museum Exhibits",
Klondike Gold Rush National Historical Park,AK,59.61042373,-135.2618535,National Historical Park,klgo,"Arts and Culture,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Mountain Climbing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Playground,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
