fullName,states,latitude,longitude,designation,parkCode,activities,entranceFees
Bandelier National Monument,NM,35.77898596,-106.3317124,National Monument,band,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Astronomy,Stargazing,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",25.00
Belmont-Paul Women's Equality National Monument,DC,38.89231541,-77.00381882,National Monument,bepa,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Bent's Old Fort National Historic Site,CO,38.03977546,-103.4266499,National Historic Site,beol,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Hiking,Living History,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Bering Land Bridge National Preserve,AK,65.96087902,-164.4086432,National Preserve,bela,"Camping,Backcountry Camping,Dog Sledding,Flying,Fixed Wing Flying,Hiking,Backcountry Hiking,Hunting and Gathering,Gathering and Foraging,Junior Ranger Program,Snowmobiling,Wildlife Watching,Birdwatching",
Big Bend National Park,TX,29.29817767,-103.2297897,National Park,bibe,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",30.00
Big Cypress National Preserve,FL,25.97079602,-81.08120629,National Preserve,bicy,"Arts and Culture,Auto and ATV,ATV Off-Roading,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Boat Tour,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Food,Picnicking,Guided Tours,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Big Hole National Battlefield,MT,45.64647324,-113.6458443,National Battlefield,biho,"Arts and Culture,Cultural Demonstrations,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Big South Fork National River & Recreation Area,"KY,TN",36.5348388,-84.66506688,National River & Recreation Area,biso,"Arts and Culture,Astronomy,Stargazing,Biking,Mountain Biking,Boating,Camping,Backcountry Camping,Horse Camping (see also Horse/Stock Use),RV Camping,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Food,Picnicking,Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Junior Ranger Program,Tubing,Swimming,Pool Swimming,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",
Big Thicket National Preserve,TX,30.457983431,-94.386742115,National Preserve,bith,"Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Food,Picnicking,Hands-On,Citizen Science,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Bighorn Canyon National Recreation Area,"MT,WY",45.13154227,-108.1443943,National Recreation Area,bica,"Arts and Culture,Theater,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Motorized Boating,Sailing,Jet Skiing,Boat Tour,Camping,Compass and GPS,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Playground,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
