Park,State,Latitude,Longitude,Park Code,Activities,Number of Activities,Entrance Fees
Great Basin National Park,NV,38.94617378,-114.2579782,grba,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Caving,Fishing,Food,Dining,Picnicking,Guided Tours,Hiking,Backcountry Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Gathering and Foraging,Junior Ranger Program,Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",35,0.0
Great Sand Dunes National Park & Preserve,CO,37.79256812,-105.5919572,grsa,"Arts and Culture,Craft Demonstrations,Live Music,Auto and ATV,Auto Off-Roading,Astronomy,Stargazing,Biking,Mountain Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Mountain Climbing,Compass and GPS,Orienteering,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Hands-On,Arts and Crafts,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Junior Ranger Program,Tubing,River Tubing,Skiing,Cross-Country Skiing,Downhill Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",56,25.0
Great Smoky Mountains National Park,"NC,TN",35.60116374,-83.50818326,grsm,"Arts and Culture,Live Music,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",36,0.0
Guadalupe Mountains National Park,TX,31.92304462,-104.885527,gumo,"Auto and ATV,Auto Off-Roading,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits",20,10.0
Haleakalā National Park,HI,20.70693015,-156.1591775,hale,"Camping,Backcountry Camping,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Junior Ranger Program,Swimming,Shopping",8,25.0
Hawaiʻi Volcanoes National Park,HI,19.3355036,-155.4700257,havo,"Arts and Culture,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",17,30.0
Hot Springs National Park,AR,34.52414366,-93.06332936,hosp,"Auto and ATV,Scenic Driving,Biking,Camping,Car or Front Country Camping,RV Camping,Fishing,Food,Dining,Picnicking,Guided Tours,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",20,0.0
Indiana Dunes National Park,IN,41.63765525,-87.09647445,indu,"Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Boating,Camping,RV Camping,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Horse Trekking,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Playground,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",35,20.0
Isle Royale National Park,MI,48.01145819,-88.82780657,isro,"Arts and Culture,Astronomy,Stargazing,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,Fishing,Freshwater Fishing,Food,Dining,Flying,Guided Tours,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,SCUBA Diving,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",35,7.0
Joshua Tree National Park,CA,33.91418525,-115.8398125,jotr,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Climbing,Rock Climbing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",29,30.0
Katmai National Park & Preserve,AK,58.62235668,-155.0126574,katm,"Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Fly Fishing,Food,Dining,Picnicking,Flying,Guided Tours,Hiking,Backcountry Hiking,Hunting and Gathering,Hunting,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",23,0.0
Kenai Fjords National Park,AK,59.81804414,-150.106502,kefj,"Astronomy,Stargazing,Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Climbing,Mountain Climbing,Ice Climbing,Dog Sledding,Fishing,Freshwater Fishing,Fly Fishing,Saltwater Fishing,Food,Flying,Helicopter Flying,Fixed Wing Flying,Guided Tours,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",38,0.0
Kobuk Valley National Park,AK,67.35631336,-159.2002293,kova,"Boating,Camping,Backcountry Camping,Fishing,Freshwater Fishing,Flying,Fixed Wing Flying,Hands-On,Arts and Crafts,Hiking,Backcountry Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Junior Ranger Program,Wildlife Watching,Museum Exhibits,Shopping,Bookstore and Park Store",19,0.0
Lake Clark National Park & Preserve,AK,60.57405857,-153.55535,lacl,"Astronomy,Stargazing,Biking,Boating,Motorized Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Climbing,Mountain Climbing,Compass and GPS,Orienteering,Fishing,Freshwater Fishing,Fly Fishing,Flying,Fixed Wing Flying,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",39,0.0
Lassen Volcanic National Park,CA,40.49354575,-121.4075993,lavo,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",47,30.0
Mammoth Cave National Park,KY,37.19760458,-86.13090198,maca,"Astronomy,Stargazing,Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Caving,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store",35,0.0
Mesa Verde National Park,CO,37.23908345,-108.4624032,meve,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Food,Guided Tours,Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",20,30.0
Mount Rainier National Park,WA,46.86075416,-121.7043885,mora,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Climbing,Mountain Climbing,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Living History,Junior Ranger Program,Skiing,Snow Play,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",36,30.0
New River Gorge National Park & Preserve,WV,37.86878554,-80.99956002,neri,"Arts and Culture,Theater,Auto and ATV,Scenic Driving,Astronomy,Biking,Mountain Biking,Road Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Playground,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",46,0.0
North Cascades National Park,WA,48.71171756,-121.2069423,noca,"Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Rock Climbing,Fishing,Guided Tours,Bus/Shuttle Guided Tour,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Shopping,Bookstore and Park Store",30,0.0
Olympic National Park,WA,47.80392754,-123.6663848,olym,"Astronomy,Stargazing,Biking,Road Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Mountain Climbing,Fishing,Freshwater Fishing,Fly Fishing,Saltwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hands-On,Citizen Science,Arts and Crafts,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Paddling,Canoeing,Kayaking,Junior Ranger Program,Tubing,Snow Tubing,Skiing,Cross-Country Skiing,Downhill Skiing,Snow Play,Snowshoeing,Surfing,Swimming,Pool Swimming,Freshwater Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",54,30.0
Petrified Forest National Park,AZ,34.98387664,-109.7877678,pefo,"Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Horse Camping (see also Horse/Stock Use),Compass and GPS,Geocaching,Orienteering,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",37,25.0
Pinnacles National Park,CA,36.49029208,-121.1813607,pinn,"Astronomy,Stargazing,Biking,Road Biking,Camping,Car or Front Country Camping,Group Camping,RV Camping,Caving,Climbing,Rock Climbing,Food,Picnicking,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",26,30.0
Rocky Mountain National Park,CO,40.3556924,-105.6972879,romo,"Arts and Culture,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Fishing,Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store",22,30.0
Saguaro National Park,AZ,32.20909636,-110.7574974,sagu,"Arts and Culture,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Park Film",14,25.0
Sequoia & Kings Canyon National Parks,CA,36.71277299,-118.587429,seki,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Caving,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",39,35.0
